"W1","W2","W3","W4","S","A","Y"
-0.0286957114260446,-0.404581330324957,1,0.0648545367142796,0,0,-0.076756180372489
-0.57147441879875,-1.53127145510376,1,-0.0993030043803923,1,0,1.82348172241788
0.848446458684645,-1.10608464568486,1,-0.972658653498538,1,1,3.26502543285649
-0.193457839428258,1.56400410361694,0,0.996354678105558,1,1,-1.57223733875862
1.48350181141893,0.655402897127632,0,-0.399343164879331,0,1,1.28774759345573
1.83544939584236,0.113268497932617,1,1.23493999146179,1,0,3.71633852680752
0.407869697977282,0.836016812702004,1,0.141176291313391,1,1,-1.3032927922833
-0.404298604612178,-0.347245391528627,1,0.553020811545678,1,0,0.802000659054986
0.110820584707944,-0.399810599303078,0,0.943997187848981,0,0,1.7913335051387
0.4508091333345,0.141369729715777,0,0.701472800825657,0,1,1.12936888919189
-2.14219029076146,-1.34095561977714,0,-0.727875046355644,1,0,-0.829539026770366
0.759348538377018,1.0558990764999,0,0.213232130607604,0,0,-0.280558224275283
-1.3878152558151,0.228834866543539,1,-0.413740527168336,0,0,-1.75316576883061
1.08153192078731,0.316824129989843,1,0.837650629396139,0,1,3.1604814104613
-0.571781856415208,0.0843899528719419,0,-0.39113789886123,0,0,-1.01745707384506
0.0097032517022488,0.65704596738591,1,0.39213369142661,0,0,0.238689249637855
-2.03774137392436,-0.144948821392357,0,0.390010404002096,0,0,-2.58449509732631
-0.895991208313323,0.167619862563784,0,-0.0220079044140029,0,0,-0.411484186262714
0.486688826759188,-0.524055355034035,1,0.909623698838262,0,0,0.00402342757596941
-1.76990904166411,-0.331473484791721,0,-0.874686521599134,0,1,-1.95719744725136
0.0486520632828595,0.00537873891034784,1,0.194397060518783,0,1,-0.684124287160412
-0.969029151546717,-1.7161492066972,0,-0.778313643425717,0,1,-0.370363383569749
-1.35858761695831,-0.957732771248359,0,-0.778851645727118,0,0,-0.608761126656524
1.84407807957695,-0.0547796501289487,1,-0.479640379072463,0,1,3.46505811189039
-1.23977059281208,-0.249577810982014,0,-0.772979010915478,1,1,-1.14993479488325
-0.893150961960764,-0.407639566397275,0,-1.70988796758316,0,0,-0.739728021589243
-0.80994170449407,0.59335706679693,0,0.0523132119840356,0,1,-1.60142043838779
0.551322857479538,1.86651492870856,0,0.999229686053968,1,0,-0.30367199077761
-0.331469543198811,-0.75911002834397,0,-0.488596375103653,0,1,-0.0842519615087218
0.864806159237851,1.31070503563305,0,-0.398260542501428,1,1,1.0216729468905
1.16545213974661,1.07656781336986,0,1.29431528192228,0,0,2.10822802459898
1.16923600681315,-0.726063907103685,1,0.0949354353513705,1,0,3.56655976440041
0.898820992766021,0.07794279280586,0,-0.184566698405169,1,0,-0.116649491835074
-0.74783211508514,-0.809391901964059,1,-0.115303574237402,0,1,1.26158939516706
0.581816665970971,-0.692652883536667,1,0.814317046582256,0,1,4.43169181959548
-0.424275147960116,-0.82785532857509,0,-1.73217332302553,0,1,-0.800237030888041
0.912100387316553,1.80192961277905,0,0.780230202221698,1,1,-0.856715562082182
-0.78590899529302,-0.48856185748178,0,0.0936204085811472,1,1,-1.32817763074
-0.752103650574966,-1.42117488937103,0,-2.23824735882343,0,0,-1.01620437935586
0.829288434557123,-0.0181482220090869,0,-0.0313714678028962,1,0,-0.0353094661245856
0.766436610457451,-0.288315024496858,0,0.541084708157509,1,0,-0.927123976229252
